Category,Method,RMSE,MAE,R2,Precision_%,Wasserstein
micro,bilstm,0.0082,0.0057,0.9519,85.71,0.0042
micro,xgboost,0.0038,0.003,0.9897,100.0,0.0029
micro,saits,0.0063,0.0054,0.9721,100.0,0.0048
micro,imputeformer,0.0122,0.0082,0.8938,85.71,0.007
micro,brits,0.0058,0.0053,0.9758,100.0,0.0043
micro,linear,0.0024,0.0013,0.996,100.0,0.0012
micro,time,0.0024,0.0013,0.996,100.0,0.0012
micro,varma,0.0024,0.0013,0.996,100.0,0.0012
short,bilstm,0.0407,0.0387,0.1015,14.29,0.0387
short,xgboost,0.007,0.0047,0.9735,92.86,0.0047
short,saits,0.0165,0.0129,0.8518,64.29,0.0129
short,imputeformer,0.0074,0.0061,0.9707,100.0,0.0049
short,brits,0.0456,0.0404,-0.1244,14.29,0.0404
short,linear,0.0071,0.0059,0.9731,100.0,0.0059
short,time,0.0071,0.0059,0.9731,100.0,0.0059
short,varma,0.0071,0.0059,0.9731,100.0,0.0059
medium,bilstm,0.0045,0.004,0.9384,100.0,0.0039
medium,xgboost,0.053,0.0496,-7.7306,0.0,0.0496
medium,saits,0.0128,0.0113,0.4947,71.43,0.0106
medium,imputeformer,0.0163,0.0128,0.178,57.14,0.0114
medium,brits,0.0121,0.0107,0.543,64.29,0.0107
medium,linear,0.0049,0.0042,0.9252,100.0,0.0041
medium,time,0.0049,0.0042,0.9252,100.0,0.0041
medium,varma,0.0049,0.0042,0.9252,100.0,0.0041
long,bilstm,0.0326,0.0285,-1.5905,28.57,0.0285
long,xgboost,0.064,0.0611,-9.01,7.14,0.0611
long,saits,0.0188,0.0125,0.1352,64.29,0.0125
long,imputeformer,0.0186,0.0164,0.1528,50.0,0.0164
long,brits,0.0355,0.0305,-2.087,28.57,0.0305
long,linear,0.0311,0.0279,-1.3673,21.43,0.0279
long,time,0.0311,0.0279,-1.3673,21.43,0.0279
long,varma,0.0311,0.0279,-1.3673,21.43,0.0279
extended,bilstm,0.0213,0.0186,0.6889,42.86,0.0186
extended,xgboost,0.0299,0.0263,0.3853,28.57,0.0263
extended,saits,0.0261,0.0227,0.5325,35.71,0.0191
extended,imputeformer,0.019,0.0155,0.7533,42.86,0.0149
extended,brits,0.0495,0.0438,-0.6804,21.43,0.0407
extended,linear,0.0213,0.0186,0.6889,42.86,0.0186
extended,time,0.0213,0.0186,0.6889,42.86,0.0186
extended,varma,0.0213,0.0186,0.6889,42.86,0.0186
gigant,bilstm,0.0322,0.0287,-0.3591,21.43,0.0287
gigant,xgboost,0.0901,0.084,-9.6131,7.14,0.084
gigant,saits,0.0214,0.0154,0.3987,64.29,0.0153
gigant,imputeformer,0.0286,0.0242,-0.0668,21.43,0.0235
gigant,brits,0.009,0.0078,0.8949,92.86,0.0078
gigant,linear,0.0322,0.0287,-0.3591,21.43,0.0287
gigant,time,0.0322,0.0287,-0.3591,21.43,0.0287
gigant,varma,0.0322,0.0287,-0.3591,21.43,0.0287
